document	label
유부남이 처녀에게 너랑 결혼하고 싶다라고 했으면 개욕처먹었겠지 ㅋㅋㅋㅋ 미친헬조선에서 태어나 오늘도 감사합니다	0
연기못하는 방구쟁이년	3
"짱깨 왤케 꼴보기 싫냐. 중국내에서 반란 일어나서 뿔뿔이 뜯어졌음 좋겠다."	0
근데 더러운건 지디인데 왜 여자욕만함 ㅋㅋ	8
"쿵쾅이들 좌표찍고 화력 오지네 ㅋㅋ"	1,5
"하나님은 변함이 없는데 개목사들이 하나님을 팔아서 지배만 불리지"	0
가좇영화를 킹스맨 따위를 비비냐 ㅋㅋㅋㅋ	3
"짱깨듣이여 짱깨는 대한민국에 전혀 도움이 안되는 인간들이야 추방이 답이다."	0
"목사 좋아하네~~ 종교팔이 하지마라 ! 개목사 주제에.."	7
"이여인 관상자체가.."	8
최종몸통이 문죄인이랑 관련있는거 같다살아있믄 권력이니 안잡고 쉬쉬하는거지	2
조용필 이선희씨 거기 가서 노래부르는 짓 하지 마세요 그냥 거절하시길	8
와..진짜 예쁘다..	8
가시나세상좋아했는데. . 난선미넘좋아~.	8
"교활한 개독의 전형. 독실한 개독 하나 더 쥐바기"	2,7
고생 하셨습니다. 좀더 맘편한 삶을 행복한삶을 살수 있길 바랍니다.	8
남은 인생달달하게 행복하게 사세요축하합니다	8
지우라면 지워 말 존나게많네 싸OOO들	3
한심한새끼들ㅉ	3
나도 돈많은 아줌마랑 결혼하고싶다	8
뚱보끼린 뭔가 잘맞는게 있나보네	1
광대가 제일 아쉽 ㅠㅠㅠㅠ	8
"관상은 무시 못한다.. 못되게 생긴거 봐라.."	1
옛날 보리고개 시절에도 7남매는 흔할 정도로 다산했었고 가난했어도 애들 다 잘키웠었다, 그리고 그 시절엔 산모가 밭에서 일하다가 애낳는 경우도 흔했고 산후조리는 꿈도 못꾸고 애낳고 이틀정도만 쉬고 다시 일하러 갔었다. 이런 헝그리 정신이 오늘날의 대한민국을 만들었는데 요즘 젊은 것들은 그 때에 비하면 천국같이 살기 좋은 세상인데도 헬조선 운운하며 애들을 안 낳는데 한 마디로 배지때기가 처 불러서 정신을 못차리는거다	4
"보름이 원래 웃음상이라 오해받는건데 40대 새끼들 진짜 토나온다"	3,4
외모만보믄한국토종시골아줌마죠좀못생긴줌마. 노랜잘하죠	1,5
노래 몇번 망하더니 이제 헝그리 정신이 새로 생긴듯....아아 세월이 야속하네. 옛날에 전성기 시절엔 지금 수지 아이유 합쳐놓은 급이었는데.	8
여기 아줌마들 시샘이 장난아니네요 열폭할시간에 애기나보세요^^	5
어린 여자 만나야 하는건가..	8
와!! 못생겨따	1
문재앙 덮으려고 연예인들이 고생하네	2
남자도 성형이 많다니..성형공화국답다	8
누나 함부로 쓰지마라. 곧 환갑인데. 아줌마나 할머니다.	8
맏딸이해가안가고 가장이기적인뇬 아버지가황혼에서 첫사랑만나 행복하고싶다는데 훼방놓다니 무자식이상팔자다	3
합창 물타기 꼼수가 방송을 핵노잼 만듦	8
영자편만보고 잘려고 했더니 뒤로 밀어놨네 아놔~유병재꺼 보기싫었는데.	8
"어서들 피검사 받으시길~~"	8
아우~~ 진짜 볼깨물어주게 귀엽넹~~ 삼둥이 아프지말고 건강하게 자라길 바랄게~~	8
누구신지. . .존재감 없는	8
여자가 남자궁뎅이만지면 결론은 그럴수도있지 남자가 쪼잔하게 따지냐 여자가 만져주면 좋지뭐 어때?? 반면 여자궁뎅이 만지면 30년전일이라도 지금 기억나면 아 요즘 짜증나는데누구 미투할남자없나 찾아서 아싸 미투 니인생 조져 ^-----^	5
와 이거 완전 재앙이네. 깨끗한 나라 만든다면서 왜 이런 사건이 터지냐??	2
좀더 찍어봐요	8
암만 연예인이라도 남잔데 무슨 화장을 저리도 떡칠을 했냐? 무슨 게이샤냐?	5
어이구 돌문재앙	2
오늘 첫 끼여~	8
다들 존나 꼬였구나	3
"중국중국중국중국하고 전쟁이나 시원하게 하자"	8
운동이 아니라 혹사지....걍 밥잘먹고 잘자고 조깅만해도 된다.	8
토크몬 강호동 김희선땜시 본다^^	8
정말바르고 봐도괘안은것같은데 두고봐야지 지금은 반듯한거같은데 그래서이뽀	8
"엉덩이를 흔들어봐~"	8
승리고향 전라도광주ㅋㅋㅋㅋ더 이상 무슨말이필요?ㅋㅇㅋ	8
"생긴것도 개떡같은게 개떡치는 소리하네. 18뇬!"	1,3
"니네 꼴보기 시러 나도 동참했다 정말 느그 조국 쪽바리한테 가라"	0
"무식한 할배들의 안보팔이 식상타. 이젠 젊은이들이 살 세상이다"	4
애초에 카지노를 왜 짓냐	8
"주사파, 사노맹, 대깨문, 달X, 호남인들이 발광하네"	0,2
"섬나라로 가라..."	8
"이뇸이 똥오즘 못가리네"	3
화장안한얼굴이훨씬이쁜것같음.실제로보니 몸매도 날씬한것같드만.카메라지대안받는타입인듯ㅎㅎ기자들이안티 ㅎ요즘 눈에뛰는여자아나운서별로없던데 쫌기대됨	8
"수꼴틀딱시키들이 다 디져야 나라가 똑바로 될것같다..답이 없는 종자들ㅠ"	2,3,4
"이런기사는 항상 댓글통제 씹재앙 ㅋㅋㅋ 종북새끼"	2,3
기집년들아 솔직히 얘기하자. 니들이 받고 싶은게 사과냐? 아님 돈이냐? 왜 돈달라는 얘기는 떳떳하지 못한거 같아서 못하는거야? 그렇게 사과를해도 기자찾아다니며 기사써달라고 하는건 결국은 니들 돈먹고 싶어요~ 하는 꼬라지아니냐~가식 쳐떠는 년들 극혐✔	3,5
이년 이거 정신 못차렸네 이런년들은 연예계에서 퇴출안시키나?	3,5
결국엔 애 미 창 년이란거잖아	3
"근데 짱깨국에서 원래 마약하면 사형 아니였음?? 시진핑 집권하고 바뀌었나?"	0
"그럼 짱개를 시켜처먹든가 그지새ㅡ키가징징대기는"	0,3
송지효 남친있지앜ㅎ음? 그 말죽거리 남자 매니저엿던애	8
아니 남남북녀 정말 재밌게 봤는데 왜 ㅜㅜ	8
문재인 이번에도 숟가락 얹을까?	2
근데 김주혁 차량조사결과는 아직안나옴?결함아닌가?	8
걸레는 계속 걸레	8
장혁은 추노로 정점을 찍고 돈꽃으로 제2전성기을 다시 여내 장혁이 최우수상일대 얼탱이가 없엇고 김상중이 대상이라고 나올대 티비 껏다	8
"느그나라 북한? 전라도?"	8
Jtbc 문재앙이가 대통령되니깐 뵈는게 없군..	2
찌찌자유 이벤트보단 이런곳에 가는 여자들 단속이 페미니즘적으로 더 건저놜것 같은데...	5
"신천지 신도 외에 다 아는 사실인데 ㅋㅋ"	8
"figu 똑발로는 맞춤법이 맞냐? . . . 뚱땡이아줌마 정신차리소"	1
정은이 하고 죄인이하고 둘다 디져라	2
"이새낀 뒤지면 방사성폐기물처리장에 묻어야함 민좃당 따까리들도 전부"	2,3
"원숭이 쳐 늙은거보소 ㅋㅋㅋ"	4
"이ㅅㄲ들은 남자ㅅㄲ들이 지들 살아보겠다고 입만열면 다 구라넼ㅋㅋ"	3
이혼이 무순 자랑이라고.. 옛날같으면 평생고개를 못들고 다니는 죄인인데.	8
"광복절에 맞춰 휴가 가버리는 친일 꼴통 그래도 대통은 씹어야지 ㅋ"	2
고현정폭행폭언 동영상 공개하면고배우님이 오죽화났으면 그랬겠냐며쉴드쳐줄듯. 배우가 대본못외운건 쪽대본탓이고, 피디랑몸싸움하고 드라마하차한건 피디갑질때문이고스탭증언들은고현정 매장시킬려는 sbs갑질이래ㅋㅋㅋ	8
"대구경북을 영원히 폐쇄하라! 지들끼리 싸우다 디져버리게~~~"	0
"40대 저년 저거 잡아 족쳐라 아랫도리 오려내서 북한에게 보내라 식량으로"	3
정말 실수로 눌렀어도 욕 오지게 할 민족임 우리나라는 사스가 오지는 국민성 어려서부터 미국에서 자랐으면 잘모를수도 있는거지 하여간 우리나라는 일본 을 떠나서 역사관련만 나오면 왜케 발광하는거임?? 정작 온라인에서만?? 실제로 역사 잘모르는 새기들 새고샛는데 인터넷 역사가들 오지게많네 진짜 자신한테 관대한것처럼 남한테 그거반만 해봐라 남의 잘못은 어떻게든 욕 못해 안달인 사스가 내로남불 빌런들 어휴	3
여자 얼굴값하게 생긴네..색기도 많아 보이고... 남자가 불쌍타..ㅉㅉ	8
제 입장에선 오징어를 문어라고 속이고 주방에 얼굴에 뭐 바르고 출근한거부터 용납이 안됩니다	8
효리야 인간적으로 참석해야지.. 안그러냐?	8
"사람을 칼로 찌른 짱깨를 동포라니 조선족이 문재인을 칼로 찔렀으면 중국동포라고 했을까"	0
"움켜쥐긴 멀 움켜쥐어 혼자 피해망상만 씹 오지는 유사 페미 잡것아 ㅋ."	3
한국남자가 또.. 에휴 국산남..	0,5
"이 냥반 곧 옷 벗겠네."	8
에쿠 그분들이 싫어할 기사네 ㄷㄷㄷㄷㄷ 그분들이 몰려 올텐데 어쩌지	8
"점심을 실컷 쳐먹고나서?"	8
"기독교는 보고 배워라"	8
이세영 닮았네	8
다음 작품 빨리 골랐으면ㅎ	8
댓글 성비봐ㄷㄷㄷㄷㄷ냄새나네ㅋ	5
근데 애기 비쥬얼은 쩔겠당 ,,	8
진짜 네티즌들 유난ㅋㅋ 작작 씹고뜯고 프로불편러들 그만좀.. 그렇게 욕먹을정돈 아닌것같은데	8
노인네들은 좀 빠져 냄시나니까 박근혜빠는게 자랑이요?	2,4
은퇴한 옛날연예인 부자집 사모님 밥상까지 기사로 봐야되나? 아 덥다	8
"페미년들 왜 침묵하냐?? 여자라고 김여정은 안된다잖아"	3,5
남자만 불리해	8
규민이 양아치새끼	3
아줌마들 배아프나 보네 ㅋㅋㅋㅋ	8
남자가 봐도 ㅈㄴ 잘생겼는데 수염은 깎자... 리틀소지섭 별명이있지만 수염은 안어울린다	8
조선넘들종특이 바로 나오는구만	0
소재부터가 뭔가 불길해,,,,요괴들이 사람 목숨 갖고 장난치는 듯,,,	8
"원래 대구,경북 박근혜 따까리들은 원래 이렇게 멍청한가요?"	0,2
기자야그렇게 쓸 기사가 없니차라리 그럼 그냥쉬어라이런애들 얘기 쓰지말고	8
내가 넘 기대한건가? 제목에 걸맞는 사부가 나오길..	8
문재인 임종석이 보수연예인 찍어낼려고 안달났네개석기들	2
ㅋㅋㅋ 지겨운 미투 ㅋㅋㅋ 성폭행만 해라 겨우 성희롱 정도로 몇십년 지난걸 미투랍시고 아무말 대잔치 하지 마라 ㅋㅋㅋ 지금 하고 있는 미투의 절반 이상은 아무말 대잔치 일거야 아마 ㅋㅋㅋㅋ	8
자연미인이라 부자연스러운느낌없이 우아 찐으로 예쁘네	8
이 프로는 참 징하게한다	8
"공산당 하수인 문재앙이 시진핑 똥구멍 빨다가 결국 나라를 재앙으로 몰았구나"	2
"잘 생긴 남자 배우 비중은 안 줄임? ㅋㅋ 킴치녀들 니들 돌았지? ㅋㅋㅋ"	0,5
"저런것들 눈치보느라 중국인 입국제한도 못시더니 ㅉㅉㅉ"	8
방송에서 지혜로운척 보살인척 하면 착한줄알고 똥꼬까지 쳐빠는 미개한 감정적인 좌좀년들	2,3
"이런 음흉한 자가 우리의 리더 라니, 기가 찬다. 홍어들이 무섭긴 무서운가 보군!"	0
"신천지가 일반교회 강사도 하는겨?ㅎㅎ 선생이 사이비인데 배우는사람도 사이비?"	7
"OOO들 내 아내, 내딸일 같아 잠이 안 옵니다"	8
니미 백년전꺼도 꺼내봐라	8
안보길 잘했네. . . 여우 나올까봐 안봤는데. . .	8
빨리좀 끝내지 ㅈㄴ 질질 끄네	3
짠내투어에서 맨날 하는게 꼰대짓인데...	8
정글의 법칙X 캠핑의 법칙O	8
생리충들 개더러워~피냄새~~~~~~~~~우엑 토나와	5
"그러게요 나라 말아먹으러 또 왔네요 재앙이가 에휴..."	2
"말만 앞세우지 말고 가택수색 하라.."	8
1960년대 남한으로 표류된 북한 어선 이름 느낌ㅋㅋㅋㅋ태항호...	8
20대는 그러려니 하는데 나이 40먹고 댓글쓰는애들은 뭐임?	4
임재범까지 특별출연하면 개꿀잼일듯ㅋㅋㅋㅋㅋㅋ	8
네이버도 페미잡것들이 점령을했군요 앞으로 남자들도 어떤신체접촉도 전부 고소합시다	5
"당신에게 진단키트 보내주면 되나요?"	8
"물뽕보다 무서운 북뽕"	8
그런 측면도 있으나 마르타가족들은 정말 특별한것 같다 아름다운 가족이였음	8
"정권 빨아주는 전라남도에 수용해라 왜 충청도와서 헛짓거리하냐"	8
진짜 씹선비들 존나 많다ㅋㅋ 엽기적인걸 컨텐츠로 받지 못하고 피드백이니 지랄이니ㅋㅋ 영화 잭애스나 봐라	3
자식을 낳았으면 어떻게든 책임을 져야지.. 자식 입장에선 똑같은 자식인대 누굼 인정하고 누군 부정하고...만들었음 책임져야지..그럼 대른 여자를 만나지 말던가그렇게 아내한테 미안할거면...	8
"과연 틀딱일까 만나자 OOO"	8
지영씨 빼고는 그닥 정이 안가는~연기도 지영씨가 갑이지	8
"조센일보, 조떼 등등도 불매해야져."	8
사업가라고 다 취집은 아니지않나?,,,	8
"안그래도 와꾸 빻은애들이 품평회 하고 관음짓 한거니까 ㅇㅇ"	1
둘이 사귐?	8
이혼했다고...우울증이라고 마약을 하지는 않는다. 참 변명이 구차하다.	8
"그 입댕이 조심혀라 하늘에서 벌내리기 전에"	8
???: 봇물이라뇨? 수치심이 느껴지네요ㅋㅋㅋㅋ	8
"좌파가 약속지키는 것은 금붕어가 물밖에서 사는것과 같이 불가능한거다."	2
지금 이 정부가 도대체 감추고자 하는것이 어디까지인가 궁금하네	2
마지막 방송에서 눈물 짜면서 감성팔이 하지말고..웃으면서 끝냈으면 좋겠습니다.	8
"박쥐처럼 생김..."	1
"40대 틀딱놈들 왜케 많냐 ㅋㅋ 문재앙 지지율 젤 낮은거 20대 ㅇㅈ? ㅋㅋㅋ"	4
"틀딱 알바들 와이리많노 개웃기네ㅋ"	4
"대기업 ㄸ꼬 열심히 빠는 흙수저들 많네;; 댓글비율봐라ㅋㅋㅋ40대 남성ㅋㅋ"	0,4,5
"일본놈들이 손발이 닳도록 빌었나 보네..."	0
박서준은 좋은데 윤식당이 윤식당으로써 빛이나고 힐링이 되어야 하는데 박서준때문에 여자분들이 윤식당 기사마다 찾아와 박서준 얘기만 하고 있으니 좀 아쉽기는 함. 윤식당 이야기 좀 합시다. 이전엔 힐링이 되어서 좋다는 댓이 많았는데...	8
앤 도대체누구야 이름도 요상하네	8
"중국은 다들어오고 우리는 다른나라가면 막고 참ㅡㅡ"	8
"여적여는 전세계가 공통"	5
성형이 죄는 진짜 아닌데.. 대놓고 성형 얘기하는건 별로..	8
솔까 대구 날라리가 페미가 뭔지나 알까? ㅋㅋㅋ	0,5
"이런 사이비 종교는 국가에 두고 두고 해가된다 .. 강제로 철거 시켜야 한다."	7
"지하철 운행 금지 시켜야 한다"	8
"틀딱 일베 토착왜구 네이버 총집결해서 발악하면서 댓글 다네"	2,4
사람 관상은 정말 과학이구나...	8
조용히ㅡ콩밥좀 드시구나오면 정신좀차리구 나이두 어린놈이 나쁜짓거리만하구 이런놈은 처넣어야함	8
"개독은 인간이 아니다 세뇌된 바퀴벌레 들이야 박멸의 대상이지 대화상대가 아냐"	7
중국 전역에 개봉되는 날이 빨리 왔음 한다	8
췡넘이 따로 읎다 ㅉㅉ 사내새끼가 문란하기 짝이 없누..	3
3000천만원쯤 줫나보네	8
잘하는데 넘나 웃긴거 ㅋㅋㅋㅋ	8
"OOO천지 개독교 새끼들아 다 착해져라!"	3,7
악플러들 특징 거의 여자들이 글씀	5
"그냥 종교쟁이들 다 똑같이 정신병임 ㅋㅋ"	7
여자가봐도 반하겠는데ㅋ 이동욱이랑 어울린다왠지 결혼까지도 갈수있다는 느낌이 빡	8
모든 연예인이 공인이 아니란다. 단지 유명인일 뿐이라고..	8
"문재앙과 문슬람이 있을 곳은 로짱이 있는 지옥뿐"	2
장혁도 장혁이지만, 장승조라는 배우를 디시보게 되었다. 연기가 진짜 장난아니다~	8
이야~ 역시 남자는튼튼!이다!	8
그렇져 솔직하시네여 눈은안햇즤 코를햇지	8
할려면 빨리하지 왜 질질 시간을 끄는지?	8
뱀뱀이 뺑뺑이 가즈아	8
모든질문에 침묵했는데 마약 질문엔 침묵이라고 기사제목 뽑는거 보소 ㅋㅋㅋ 어그로 잘끄네	8
웬 최지우 아줌마? 안어울림	8
둥글게 둥글게 알면 아재인정	8
와 나이차이;; 아저씨 제발요	8
"할매 그만하고자:D"	8
내년엔 다니엘 괜찮은 소속사 만나정상적으로 일한 만큼 받아갔음 좋겠네요	8
솔직히 잼미하나도없다 일회보고안봄 졸라잼미없어	3
"설리 힘들게한 한남들 전부 처벌받아라 감옥가"	8
아 박명수 진짜 웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ꿀잼	8
사링받는 여자는 페미가 될 수가 없다 간단히 생각해봐라 자기를 사랑해주고 예뻐해주는데 누가 그를 욕하겠나 사랑 못 받고 피해의식에 쩔고 자기비관적인 여자들이 그 원인을 본인이 아닌 상대방에게 돌리는 데 그게 남성인거다 애인이 없는 것도 나의 문제가 아닌 사람 볼 줄 모르는 한남들의 문제인거지	0,5
"조선 자유주의인민공확국..전라도."	0
작품에 자신의 삶을 담은 느낌이네요! 이 작품이 성공한 이유 중 하나일듯해요...	8
"가만 보니 쥐 관상이로다. 두더쥐 두더쥐 헤까닥 두더쥐"	8
얼굴무서움...다 너무 깍아서 뾰족뾰족	1
"후유증이 없기를 몸도 마음도"	8
근친상간 드라마	8
여자는 처음부터 끝까지 A로 해주고 남자는 바로 성까고 이름도 까네 ㅋㅋㅋ	8
뜬그없는 전개 ㅋㅋ	8
전소민도 메갈이구나	5
으잉	8
전소미 흉악하게 생겻네	1
세상혼자사는듯한 저언니 너무 예쁘다 !!!!!멋짐폭발	8
"언론을 바로잡고. 쓰레기신문에 방송. 그밑에 기생하는 나이먹은 송장들~~ 치웁시다"	4
이쁘다ㅈ	8
"꺼져라 근본이 못되쳐먹은 일본놈들"	0
쪽빠리 그룹 관심없다~ 기사 내려라~	0
네들 연예인 못 돼서 배아프지...진실이 밝히기 전에 개소리 그만 해	8
"아니 어디 믿을게없어서 저런 노린네할아버지가 하나님이라고 믿냐? 어처구니가 없다"	8
"종교는 자유이지만... 나자신을 믿어라... 내몸 내생각이 허하니 종교에 빠지는거다.."	7
이런애들 열애하던말던 으무도 관슴읍스무	8
송혜교도 아줌마고...다 같지 뭐...다 예쁘세요!!	8
성비 봐라 ㅋㅋㅋ 여자들 다 욕하네	8
첫번째사진ㅋㅋ김유정느낌?약간?	8
"뭐야 너 메갈이냐 ㅋㅋ 쿵쾅쿵쾅 그들이 온다 ㅋㅋ"	1,5
"이분법적 사고를 갖는 틀딱이 젤싫어요"	4
최현석이 김생민처럼 살면 스튜핏이지 김생민이 정답이 아님 그리고 일반 직장인들은 김생민처럼 살아도 티끌모아 티끌임 쓸땐 쓰고 사세요	8
"상전을 까는 로저스를 토착왜구들이 싫어하겠군"	2
"바로 비공 날리쥬?? 조선족들 ㅗㅗ 머겅 많이 머겅 마우쪄둥 OOO해봐 ㅋㅋ"	3
김연아가 마지막 올림픽 때 금메달 뺏긴 기분	8
"부끄러운줄알라ㅡ 할머님들 앵벌이시킨것들을 쉴드치는 넌 뭐니"	8
얘 결혼하는게 왜 실검1위냐ㅋㅋㅋㅋㅋㅋㅋㅋㅋ나 결혼할때도 실검올려줘라그럼;	8
그래도 포스터는 돈주고 업체에 맡겼을텐데...돈받고 일을저렇게 하면안돼지.오타난거나 다름없는건데.. 막영애보면 저런거 난리나던데.2nd로 수정가야지.....	8
"틀딱들 불러놓고 구라치는 문구라새끼..."	2,3,4
"갑자기 쥐박이 아덴만여명작전이 왜생각날까 ㅋㅋ"	1
이쁘면 임신해도 이쁘고 못생기면 임신하면 더 못생김	1
쪽바리 앞에서 납작 엎드리던데ㅋㅋㅋ 친일파 보는줄	0,2
"아내가 소개시켜줬는데 저러는거임??헐"	8
ㅅㅂ 북한빨갱이역이겟네	2,3
당장 주적은 북 핵돼지떼 입니다만..뭔가 지나치게 몰입당하는듯..쑈청와대의 술수아닌가..	2
별의 별 기념회도 다 있네.	8
"삐빅 틀딱 비율 78% 인 댓글란입니다."	4
"3040 대깨문 핵심지지 아닌가 지네들이 찍은사람이 펴는정책이니 감사히 받겠지"	2,4
"여가부는 무슨 피해망상 집단이냐? 개꼰대들이네 진짜"	4
슬픈노래좀 불러줘요.....이번 노래는 여러번 듣고싶어지지는 않네 ㅠㅠ	8
음주 운전 조심.	8
"허허허 허허허 괜찮아요 허허허 아직 핵미사일 안쐇네요~~평화경제로 가는군요 허허허"	8
역시 남자가 좀 어려야 연예기사에서 욕을 덜먹네요	4,5
영화도 안보고 쳐 까는건 무슨 경우지?	3
아 깜둥이좀보기싫다	6
"팔자 좋은 녀 들 참 많쿠나 아프리카까지 놀러가고 나라가 이리 어려운데 쩝"	8
난민꼰대때문에 안봄	4
시후. 조심해라. 여자들아	8
양승호 섹스능력	8
성격 좋고 너무 웃김	8
오년이면 긴시간인데 여전히 달달해 보여요~^^	8
이제 남자들이 불쌍해지기 시작한다	5
"생긴대로 논다는 우리의 명언이 있다."	8
웃기는게 성경원래 기득권층들이 지들맘대로 해석한걸 대중에 번역해서 풀은건데 자기들 맘대로 하석 하든 말든 무슨 상관인거냐. 신학도들만 성경가르칠 자격이 있다는 거야 말로 개소리 아니냐? 그 걸 가지고 누굴 속이거나 범죄를 가했을때 문제가 되는 거지 자기들끼리 보고 얘기하고 기르치는건 엄연히 자유다. 외래종인 불교 자기가 해석해서 책쓴 원효도 이단이니 역사책에 이단이라고 명시하라해	8
난 경맑음보다 경흐림이 더 좋더라	8
유재석 팬들은 왤케 십대 빠순이들 마냥 나이쳐먹은 것들이 아직도 정신을 못차리나요?	4,5
역시 여자는어려야	8
재미와 공감포인트가 대체 어느부분이냐. 프로그램 종영해라. 이건 방송할수록 보는사람들 암유발시키고 결혼 안하도록 맘먹게 할꺼다.	8
동양인은 일단 좀 혼나자	6
다된밥에 로이킴뿌리기가웬말ㅋㅋ	8
아직도 대응 못하면 ㅋㅋ 팩트라는 거잖아 ㅋㅋ 빠순이들아 ㅋㅋㅋ	8
피해자한테 얼평, 몸평이나 하고 있는 남자들 수준.. 진짜 진절머리 난다	5
개돼지들 뭐만하면 국민청원 ㅈㄹ 진짜 청원에 서명하는 인간들중에 제대로 된 것들을 못 봤다	3
아들들 엄마한테 평생 잘해라 저건 인간의 경지를 넘어선 거다	8
"조가튼 찐따 새 기둘 힘없는 스리랑카나 건드는 우주 쓰레기들 OOO"	3
무슨핑계로 손을 대는 상관할바아니지만 어느순간 OOO에 얼굴 흘러내린다.그땐 후회각	8
예전에 이상민도 인성이 썩좋지는 않앗다고 하던데 그래도 힘든일 겪으면서 사람이 정말 많이 바뀐듯 옛날보다 눈이 엄청 선해지셧음	8
"원균이라고 하면 개G랄 할까봐 신립으로 격상시켜 줬네."	3
임수향 눈빛 진짜 섹시하다	8
"동성애는 막아야합니다"	8
숨긴이유 : 또 9살연하 만난다고 한국미개한 댓글러들 악플단다	8
돈많고 시간많은 남자는 99퍼 바람이다 진리임	5
"신천지 연구용으로 쓰자.쟤네는 나다니면 안됨"	7
연예인 걱정할 시간에 본인들 인생걱정이나 하셈ㅉㅉ	8
시청률좀 올랐다고 피디넘이 1/2 부로 나눠서 방송하네.. 얍샤ㅃ하네	8
시집못갈줄알았는데 어떻게가네	8
"인정할건 인정 못하는건 대구갱북놈들 종특인가?ㅋㅋ"	0
남자들은 다 똑같음.. 진리	8
그러고보니 아기체형이 균형잡혓네 몸매금수저	8
"아직도 짱깨들이 설치네 야~시진핑🐕3끼~해봐"	0,3
와~ 덩케르크 하나정도는 받을줄알았는데...	8
"신이 있었다면 짱깨는 없었다"	0
"홍어들은 안댄다니껭"	0
전어제김미화씨가더재밌던데요.	8
이건 여자들 얼굴들에 침뱉는격...	8
개독은 이래서 거른거다니깐;;;	7
비공개 3월인데 왜지금 터뜨리누?문재인이 또사고침?	2
공돌이는 취급안하나	0
문재인 저격 드라마. 비행기 고의 추락 = 청해진 해운 세월호 고의침몰	2
얼굴안습 박수진이랑 둘다 무수리였는데 얘는 박수진 무수리됨	1
얘들은 결혼 했음 애놓고 살지 애안놓고 뭐하는거지 아줌씨들 별로 안보고 싶은디	8
남성??...ㅋㅋㅋ 똥꼬충 ㅅㄲ	3,5
진짜 청와대 대변인으로 가나?	8
"문죄인 종북좌파보다는 극우가 좋다"	2
시집살이의 99프로는 시어머니... 아직도 사위는 장모에게 대접받고.. 아니 대접을 안하더라도 독한 말을 일부러 하지 않지... 자기 일있는 여자들이여 그냥 결혼 안하는게 답이여!!!! 결혼하는 순간.... 시집식구 자식이 당신 발목을 잡을거임... 취집할거면 감내하는 거고	8
어디 무서워서 여자들이랑 직장생활같이하겠냐?	5
분영잤다. 진짜거플느낌남 여자몸매죽임	8
